v0,v1
0,38
1,141
2,173
3,
4,
5,
6,36
7,87
8,
9,174
10,
11,116
12,74
13,147
14,
15,
16,146
17,71
18,
19,
20,60
21,
22,132
23,156
24,
25,67
26,
27,
28,129
29,
30,148
31,35
32,42
33,43
34,130
35,98
36,7
37,33
38,120
39,46
40,
41,102
42,107
43,117
44,118
45,
46,31
47,121
48,
49,155
50,
51,
52,
53,123
54,
55,135
56,
57,
58,
59,122
60,8
61,
62,111
63,91
64,53
65,115
66,
67,
68,
69,110
70,58
71,105
72,57
73,
74,
75,28
76,
77,134
78,
79,112
80,
81,
82,
83,
84,
85,
86,18
87,69
88,154
89,
90,68
91,62
92,119
93,131
94,
95,
96,106
97,142
98,168
99,
100,137
101,39
102,
103,
104,72
105,75
106,171
107,29
108,
109,
110,
111,
112,26
113,24
114,27
115,175
116,176
117,80
118,133
119,32
120,108
121,125
122,48
123,47
124,78
125,167
126,70
127,157
128,172
129,159
130,49
131,51
132,55
133,44
134,109
135,126
136,45
137,0
138,100
139,11
140,12
141,15
142,20
,1
,2
,3
,4
,5
,6
,9
,10
,13
,14
,16
,17
,19
,21
,22
,23
,25
,30
,34
,37
,40
,41
,50
,52
,54
,56
,59
,61
,63
,64
,65
,66
,73
,76
,77
,79
,81
,82
,83
,84
,85
,86
,88
,89
,90
,92
,93
,94
,95
,96
,97
,99
,101
,103
,104
,113
,114
,124
,127
,128
,136
,138
,139
,140
,143
,144
,145
,149
,150
,151
,152
,153
,158
,160
,161
,162
,163
,164
,165
,166
,169
,170
