v0,v1
0,
1,73
2,14
3,
4,
5,
6,106
7,
8,
9,
10,
11,
12,96
13,74
14,
15,62
16,
17,
18,98
19,
20,
21,46
22,
23,60
24,
25,35
26,
27,
28,84
29,
30,
31,
32,
33,
34,113
35,65
36,
37,49
38,
39,61
40,
41,67
42,
43,
44,12
45,
46,
47,
48,88
49,94
50,
51,109
52,
53,
54,
55,75
56,82
57,
58,
59,
60,
61,133
62,107
63,45
64,13
65,
66,
67,
68,134
69,20
70,89
71,118
72,117
73,
74,
75,101
76,
77,
78,
79,
80,130
81,
82,58
83,
84,
85,
86,102
87,56
88,76
89,68
90,110
91,111
92,78
93,125
94,92
95,70
96,119
97,99
98,108
99,120
100,121
101,122
102,123
103,95
104,115
105,63
106,131
107,132
108,19
109,18
110,48
111,112
112,135
113,16
114,17
115,29
,0
,1
,2
,3
,4
,5
,6
,7
,8
,9
,10
,11
,15
,21
,22
,23
,24
,25
,26
,27
,28
,30
,31
,32
,33
,34
,36
,37
,38
,39
,40
,41
,42
,43
,44
,47
,50
,51
,52
,53
,54
,55
,57
,59
,64
,66
,69
,71
,72
,77
,79
,80
,81
,83
,85
,86
,87
,90
,91
,93
,97
,100
,103
,104
,105
,114
,116
,124
,126
,127
,128
,129
,136
,137
