e0v0,e0v1,e1v0,e1v1
99,21,,
32,24,,
92,37,,
46,43,,
45,46,,
77,66,,
74,71,,
74,75,,
15,87,,
29,90,,
93,94,,
13,102,,
97,104,,
109,107,,
33,34,,
54,48,,
75,76,,
77,72,,
27,36,,
46,58,,
34,26,,
21,105,,
107,13,,
109,10,,
9,5,,
113,2,,
27,96,,
21,29,,
43,53,,
52,60,,
84,82,,
72,73,,
76,78,,
60,63,,
60,81,,
61,74,,
57,49,,
58,77,,
87,22,,
105,109,,
106,103,,
9,1,,
12,8,,
34,19,,
5,4,,
105,114,,
106,0,,
115,41,,
44,92,,
14,9,,
51,31,,
7,3,120,135
101,14,17,16
39,40,74,75
50,45,21,93
38,47,123,124
70,68,38,44
84,85,5,77
28,100,105,97
20,108,104,85
20,112,104,29
17,18,69,141
89,28,96,105
32,33,127,128
45,93,93,88
54,55,101,48
89,61,96,79
23,30,86,9
23,15,86,82
11,91,118,113
39,95,74,73
16,111,143,145
44,20,95,104
28,99,105,36
16,39,143,74
57,80,52,51
62,67,102,115
70,69,38,18
93,88,88,13
32,56,127,68
18,27,141,139
14,86,16,10
38,32,123,127
112,7,29,120
115,116,146,147
42,44,24,95
55,57,48,52
25,35,67,138
44,59,95,40
42,51,24,47
50,6,21,23
45,42,93,24
112,12,29,111
117,118,132,122
118,110,122,121
97,119,43,112
119,89,112,96
99,120,36,41
120,54,41,101
120,52,41,34
61,64,79,4
115,50,146,21
88,84,13,5
3,121,135,140
121,117,140,132
122,11,19,118
123,122,117,19
117,124,132,133
124,123,133,117
118,125,122,49
125,106,49,54
7,126,120,30
126,113,30,25
44,97,95,43
100,127,97,20
127,101,20,17
14,23,16,86
128,83,114,107
54,129,101,106
129,128,106,114
61,130,79,11
130,65,11,7
131,79,39,87
132,131,91,39
119,133,112,35
133,132,35,91
97,134,43,46
134,38,46,123
33,135,128,134
135,25,134,67
25,17,67,69
17,98,69,136
59,136,40,89
136,70,89,38
51,16,47,143
51,137,47,100
137,62,100,102
,,2,1
,,113,27
,,100,53
,,66,65
,,142,70
,,142,71
,,5,78
,,11,80
,,37,83
,,92,90
,,35,98
,,28,99
,,61,108
,,23,110
,,64,116
,,66,129
,,136,137
,,125,126
,,91,32
,,102,58
,,64,109
,,129,131
,,37,33
,,92,8
,,95,84
,,28,94
,,14,12
,,52,56
,,63,119
,,113,42
,,36,45
,,30,22
,,129,130
,,141,142
,,145,76
,,89,31
,,106,28
,,2,0
,,6,3
,,6,2
,,13,6
,,87,26
,,37,50
,,39,81
,,87,37
,,17,92
,,58,59
,,40,61
,,61,63
,,14,103
,,117,15
,,63,64
,,126,14
,,23,125
,,46,57
,,136,60
,,128,66
,,49,55
,,137,62
,,144,72
,,145,144
