v0,v1
0,
1,
2,
3,135
4,
5,
6,23
7,120
8,
9,
10,
11,118
12,111
13,
14,16
15,82
16,143
17,69
18,141
19,
20,104
21,
22,
23,86
24,
25,67
26,
27,139
28,105
29,
30,9
31,
32,127
33,128
34,
35,138
36,
37,
38,123
39,74
40,75
41,
42,24
43,
44,95
45,93
46,
47,124
48,
49,
50,21
51,47
52,34
53,
54,101
55,48
56,68
57,52
58,
59,40
60,
61,79
62,102
63,
64,4
65,7
66,
67,115
68,44
69,18
70,38
71,
72,
73,
74,
75,
76,
77,
78,
79,87
80,51
81,
82,
83,107
84,5
85,77
86,10
87,
88,13
89,96
90,
91,113
92,
93,88
94,
95,73
96,
97,43
98,136
99,36
100,97
101,17
102,
103,
104,
105,
106,54
107,
108,85
109,
110,121
111,145
112,29
113,25
114,
115,146
116,147
117,132
118,122
119,112
120,41
121,140
122,19
123,117
124,133
125,49
126,30
127,20
128,114
129,106
130,11
131,39
132,91
133,35
134,46
135,134
136,89
137,100
,0
,1
,2
,3
,6
,8
,12
,14
,15
,22
,26
,27
,28
,31
,32
,33
,37
,42
,45
,50
,53
,55
,56
,57
,58
,59
,60
,61
,62
,63
,64
,65
,66
,70
,71
,72
,76
,78
,80
,81
,83
,84
,90
,92
,94
,98
,99
,103
,108
,109
,110
,116
,119
,125
,126
,129
,130
,131
,137
,142
,144
