e0v0,e0v1,e1v0,e1v1
17,14,,
14,15,,
39,34,,
38,37,,
46,50,,
56,53,,
7,54,,
56,58,,
74,75,,
37,27,,
76,32,,
8,36,,
44,9,,
9,40,,
45,52,,
62,64,,
16,3,,
19,16,,
26,22,,
26,21,,
29,23,,
32,26,,
37,29,,
34,8,,
1,5,,
43,4,,
45,10,,
48,55,,
64,6,,
61,71,,
42,35,90,50
45,39,29,30
68,70,130,70
19,20,99,94
33,28,27,20
44,38,106,139
51,46,25,23
7,56,136,19
51,2,25,26
69,67,42,129
75,76,126,124
28,18,20,157
76,45,124,29
0,13,6,5
25,19,98,99
28,24,20,13
41,7,137,136
59,60,41,75
48,63,47,54
63,11,54,61
61,66,38,73
56,12,19,140
70,72,70,66
33,49,27,97
44,33,106,27
42,48,90,47
18,0,157,6
49,77,97,131
77,1,131,155
77,78,131,110
78,25,110,98
78,79,110,113
79,80,113,93
46,43,23,16
80,81,93,91
81,59,91,41
82,62,80,81
69,73,42,79
83,44,128,106
76,84,124,127
84,83,127,128
38,85,139,138
85,41,138,137
86,30,118,150
79,87,113,149
87,86,149,118
80,88,93,151
88,51,151,25
89,31,22,104
46,90,23,132
90,89,132,22
81,91,91,88
91,57,88,154
59,92,41,43
92,82,43,80
82,93,80,87
93,65,87,86
78,94,110,24
94,47,24,103
49,95,97,34
95,61,34,38
61,69,38,42
67,68,129,130
0,96,6,158
96,17,158,7
,,116,8
,,120,18
,,30,31
,,36,32
,,81,35
,,89,40
,,39,46
,,68,48
,,70,51
,,52,53
,,56,55
,,70,71
,,43,78
,,15,101
,,15,105
,,103,107
,,104,109
,,20,114
,,126,125
,,102,17
,,92,28
,,89,36
,,39,89
,,45,76
,,45,74
,,52,65
,,104,100
,,121,3
,,0,122
,,0,1
,,7,2
,,118,10
,,12,117
,,102,14
,,112,33
,,98,44
,,78,45
,,68,69
,,62,64
,,54,63
,,59,60
,,58,57
,,47,52
,,88,68
,,84,82
,,39,83
,,92,37
,,100,95
,,22,96
,,100,15
,,99,102
,,25,108
,,9,12
,,122,116
,,120,123
,,1,119
,,121,0
,,31,4
,,58,62
,,127,112
,,128,21
,,129,39
,,133,84
,,133,77
,,58,134
,,134,56
,,134,59
,,127,135
,,135,120
,,140,9
,,89,141
,,141,92
,,142,67
,,143,142
,,144,143
,,130,145
,,145,144
,,146,72
,,147,146
,,67,148
,,148,147
,,150,121
,,152,11
,,132,153
,,153,152
,,11,111
,,11,115
,,154,133
,,99,85
,,155,90
,,47,156
,,156,49
,,49,58
