e0v0,e0v1,e1v0,e1v1
81,8,,
19,20,,
13,36,,
45,38,,
33,40,,
47,43,,
3,47,,
60,52,,
50,53,,
68,65,,
78,79,,
80,83,,
17,84,,
84,85,,
11,10,,
52,50,,
31,26,,
30,0,,
36,30,,
0,31,,
42,5,,
4,42,,
43,4,,
13,54,,
49,3,,
11,57,,
57,58,,
69,74,,
76,14,,
33,27,,
46,11,,
41,33,,
26,19,,
27,22,,
36,29,,
1,46,,
10,24,,
53,45,,
41,59,,
63,9,,
62,73,,
57,67,,
65,60,,
67,76,,
66,77,,
76,7,,
8,78,,
16,81,,
82,16,,
82,17,,
34,32,,
15,66,,
56,51,82,109
55,56,75,82
61,63,133,45
56,62,82,107
86,18,102,98
69,68,20,134
25,23,35,60
13,21,74,46
37,34,49,113
63,69,45,20
75,12,101,96
72,6,117,106
34,44,113,12
13,55,74,75
13,35,74,65
88,48,76,88
88,89,76,68
89,41,68,67
80,90,130,110
90,82,110,58
21,91,46,111
28,13,84,74
51,92,109,78
92,1,78,73
62,93,107,125
93,88,125,76
48,94,88,92
94,49,92,94
89,95,68,70
95,39,70,61
62,70,107,89
70,96,89,119
96,71,119,118
71,72,118,117
97,75,99,101
98,97,108,99
99,98,120,108
100,99,121,120
101,100,122,121
6,102,106,123
102,101,123,122
103,86,95,102
70,104,89,115
104,103,115,95
55,105,75,63
105,15,63,62
15,80,62,130
106,87,131,56
90,107,110,132
107,106,132,131
68,108,134,19
108,64,19,13
15,109,62,18
109,61,18,133
35,37,65,49
110,25,48,35
111,110,112,48
91,112,111,135
112,111,135,112
113,2,16,14
114,113,17,16
91,115,111,29
115,114,29,17
,,4,2
,,10,5
,,14,11
,,19,21
,,39,28
,,45,32
,,32,33
,,33,34
,,47,36
,,31,38
,,40,42
,,43,50
,,53,52
,,58,55
,,56,59
,,71,69
,,73,72
,,77,80
,,91,86
,,97,93
,,106,100
,,7,4
,,8,7
,,27,25
,,42,30
,,38,44
,,47,39
,,52,40
,,50,41
,,52,43
,,44,51
,,61,53
,,70,71
,,86,85
,,4,6
,,8,3
,,9,1
,,10,0
,,17,8
,,26,15
,,27,23
,,41,22
,,30,24
,,33,26
,,41,31
,,43,37
,,62,54
,,66,57
,,71,64
,,64,66
,,77,79
,,81,87
,,93,90
,,94,91
,,92,104
,,105,103
,,16,9
,,29,47
,,109,81
,,112,77
,,12,114
,,114,10
,,102,116
,,116,97
,,108,124
,,124,105
,,126,83
,,127,126
,,128,127
,,81,129
,,129,128
,,136,27
,,35,137
,,137,136
