e0v0,e0v1,e1v0,e1v1
37,2,,
17,7,,
21,20,,
23,21,,
19,26,,
61,34,,
32,38,,
10,5,,
17,6,,
28,35,,
2,31,,
0,11,,
30,12,,
29,8,,
31,22,,
36,43,,
2,56,,
55,58,,
40,54,,
16,13,84,85
32,30,100,127
9,39,97,134
16,15,84,82
0,16,88,84
1,24,93,94
42,33,92,37
46,48,38,32
48,51,32,33
25,3,130,65
59,52,17,98
19,17,9,1
28,14,12,8
23,18,101,14
1,0,93,88
44,45,120,52
39,46,134,38
47,50,136,70
53,55,34,26
46,57,38,47
51,53,33,34
18,19,14,9
30,23,127,101
60,37,115,41
60,62,115,50
62,27,50,6
62,63,50,45
63,1,45,93
63,64,45,42
64,40,42,51
64,65,42,44
65,9,44,97
65,42,44,92
66,67,89,28
67,32,28,100
67,68,28,99
68,44,99,120
68,69,99,21
69,41,21,105
70,28,112,12
60,61,115,116
63,71,45,46
71,36,46,43
40,49,51,137
72,59,25,17
51,73,33,135
73,72,135,25
9,74,97,119
74,66,119,89
66,75,89,61
75,25,61,130
19,76,9,5
76,10,5,4
69,77,21,29
77,29,29,90
65,78,44,59
78,47,59,136
65,79,44,20
79,70,20,112
80,4,124,123
81,80,117,124
82,81,121,117
83,82,3,121
70,84,112,7
84,83,7,3
,,32,24
,,39,40
,,77,66
,,70,68
,,74,71
,,74,75
,,15,87
,,13,102
,,97,104
,,20,108
,,109,107
,,17,18
,,54,48
,,75,76
,,77,72
,,54,55
,,23,30
,,23,15
,,27,36
,,46,58
,,107,13
,,11,91
,,39,95
,,109,10
,,113,2
,,16,111
,,27,96
,,16,39
,,43,53
,,52,60
,,57,80
,,62,67
,,70,69
,,72,73
,,76,78
,,60,63
,,60,81
,,61,74
,,57,49
,,58,77
,,87,22
,,32,56
,,18,27
,,14,86
,,105,109
,,106,103
,,34,19
,,105,114
,,106,0
,,55,57
,,25,35
,,117,118
,,118,110
,,120,54
,,61,64
,,122,11
,,123,122
,,118,125
,,125,106
,,7,126
,,126,113
,,14,23
,,128,83
,,54,129
,,129,128
,,131,79
,,132,131
,,119,133
,,133,132
,,51,16
,,51,31
,,137,62
