v0,v1
0,88
1,93
2,
3,65
4,123
5,
6,
7,
8,
9,97
10,4
11,
12,
13,85
14,8
15,82
16,84
17,1
18,14
19,9
20,
21,
22,
23,101
24,94
25,130
26,
27,6
28,12
29,90
30,127
31,
32,100
33,37
34,
35,
36,43
37,41
38,
39,134
40,51
41,105
42,92
43,
44,120
45,52
46,38
47,136
48,32
49,137
50,70
51,33
52,98
53,34
54,
55,26
56,
57,47
58,
59,17
60,115
61,116
62,50
63,45
64,42
65,44
66,89
67,28
68,99
69,21
70,112
71,46
72,25
73,135
74,119
75,61
76,5
77,29
78,59
79,20
80,124
81,117
82,121
83,3
84,7
,0
,2
,10
,11
,13
,15
,16
,18
,19
,22
,23
,24
,27
,30
,31
,35
,36
,39
,40
,48
,49
,53
,54
,55
,56
,57
,58
,60
,62
,63
,64
,66
,67
,68
,69
,71
,72
,73
,74
,75
,76
,77
,78
,79
,80
,81
,83
,86
,87
,91
,95
,96
,102
,103
,104
,106
,107
,108
,109
,110
,111
,113
,114
,118
,122
,125
,126
,128
,129
,131
,132
,133
