v0,v1
0,43
1,95
2,
3,25
4,72
5,
6,
7,19
8,93
9,34
10,31
11,65
12,109
13,102
14,
15,
16,142
17,141
18,
19,4
20,
21,21
22,58
23,
24,37
25,
26,27
27,26
28,52
29,
30,
31,80
32,120
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,38
44,15
45,
46,136
47,130
48,
49,103
50,3
51,91
52,90
53,
54,
55,
56,115
57,116
58,44
59,92
60,33
61,28
62,22
63,32
64,39
65,6
66,101
67,135
68,121
69,16
70,100
71,74
72,48
73,119
74,133
75,75
76,131
77,118
78,132
79,42
,0
,1
,2
,5
,7
,8
,9
,10
,11
,12
,13
,14
,17
,18
,20
,23
,24
,29
,30
,35
,36
,40
,41
,45
,46
,47
,49
,50
,51
,53
,54
,55
,56
,57
,59
,60
,61
,62
,63
,64
,66
,67
,68
,69
,70
,71
,73
,76
,77
,78
,79
,81
,82
,83
,84
,85
,86
,87
,88
,89
,94
,96
,97
,98
,99
,104
,105
,106
,107
,108
,110
,111
,112
,113
,114
,117
,122
,123
,124
,125
,126
,127
,128
,129
,134
,137
,138
,139
,140
