e0v0,e0v1,e1v0,e1v1
4,2,,
14,11,,
39,28,,
47,36,,
31,38,,
40,42,,
43,50,,
53,52,,
58,55,,
56,59,,
68,67,,
71,69,,
73,72,,
91,86,,
106,100,,
27,25,,
42,30,,
38,44,,
47,39,,
52,40,,
50,41,,
52,43,,
44,51,,
61,53,,
70,61,,
86,85,,
4,6,,
26,15,,
27,23,,
41,22,,
30,24,,
41,31,,
43,37,,
62,54,,
66,57,,
71,64,,
64,66,,
78,73,,
77,79,,
93,90,,
94,91,,
92,104,,
10,5,210,212
16,14,57,58
19,21,106,122
45,32,207,216
32,33,216,116
33,34,116,115
65,49,183,196
74,75,160,168
77,80,6,129
97,93,98,179
101,96,66,147
95,102,79,88
7,4,32,30
8,7,192,32
29,17,185,191
68,70,53,64
70,71,64,69
75,82,168,161
92,94,20,16
84,74,227,160
8,3,192,44
9,1,72,202
10,0,210,83
17,8,191,192
19,13,106,107
45,20,207,103
33,26,116,223
48,35,37,28
35,60,28,21
62,18,80,93
74,46,160,159
63,62,70,80
81,87,34,26
102,98,88,184
99,101,55,66
74,65,160,183
105,103,46,135
76,68,39,53
75,63,168,70
16,9,57,72
17,16,191,57
29,47,185,43
82,107,161,162
107,89,162,61
108,99,140,55
82,109,161,38
109,78,38,157
109,81,38,34
110,58,109,112
46,111,159,42
111,29,42,185
112,48,153,37
112,77,153,6
49,113,196,73
113,12,73,82
12,114,82,86
114,10,86,210
89,115,61,158
115,95,158,79
102,116,88,91
116,97,91,98
117,106,149,150
118,117,60,149
89,119,61,63
119,118,63,60
120,108,145,140
121,120,68,145
122,121,65,68
106,123,150,144
123,122,144,65
108,124,140,139
124,105,139,46
107,125,162,52
125,76,52,39
88,92,151,20
76,88,39,151
126,83,131,130
127,126,132,131
128,127,11,132
81,129,34,10
129,128,10,11
62,130,80,110
130,110,110,109
131,56,119,121
110,132,109,219
132,131,219,119
18,133,93,204
133,45,204,207
20,134,103,213
134,19,213,106
111,135,42,41
135,112,41,153
136,27,171,176
35,137,28,177
137,136,177,171
,,136,7
,,17,14
,,26,25
,,180,35
,,41,40
,,49,45
,,51,47
,,196,71
,,82,75
,,209,84
,,182,92
,,96,97
,,204,102
,,197,113
,,125,124
,,125,126
,,50,137
,,50,138
,,149,146
,,150,152
,,27,155
,,27,156
,,165,166
,,23,172
,,177,180
,,64,181
,,178,182
,,195,188
,,197,198
,,110,208
,,212,215
,,97,221
,,180,31
,,55,134
,,154,78
,,79,164
,,89,94
,,91,170
,,93,203
,,20,133
,,1,4
,,65,49
,,145,62
,,51,143
,,74,141
,,33,148
,,37,173
,,172,175
,,89,186
,,54,193
,,59,194
,,199,54
,,113,117
,,206,87
,,203,95
,,209,214
,,219,120
,,218,104
,,97,224
,,107,111
,,105,108
,,105,225
,,6,125
,,4,8
,,132,3
,,142,136
,,165,17
,,171,165
,,23,24
,,29,19
,,137,36
,,46,50
,,139,51
,,199,48
,,181,56
,,201,67
,,154,163
,,72,209
,,78,178
,,98,174
,,203,218
,,107,222
,,223,211
,,119,123
,,133,15
,,131,128
,,26,12
,,134,22
,,11,9
,,49,127
,,5,0
,,136,2
,,138,33
,,5,1
,,142,5
,,66,154
,,68,74
,,74,77
,,159,142
,,167,18
,,166,27
,,173,23
,,17,13
,,181,167
,,63,85
,,178,89
,,186,169
,,85,90
,,32,29
,,186,187
,,188,190
,,94,100
,,193,189
,,195,59
,,58,195
,,58,201
,,87,81
,,70,99
,,59,199
,,113,200
,,118,197
,,211,205
,,201,76
,,86,217
,,112,118
,,212,220
,,73,96
,,216,114
,,107,206
,,218,105
,,96,101
,,103,226
