e0v0,e0v1,e1v0,e1v1
116,8,,
29,30,,
30,31,,
81,35,,
89,40,,
39,46,,
70,51,,
52,53,,
56,55,,
70,71,,
43,78,,
80,81,,
80,87,,
15,101,,
15,105,,
103,107,,
126,125,,
87,86,,
92,28,,
45,76,,
45,74,,
52,65,,
70,66,,
43,80,,
110,24,,
0,122,,
0,1,,
7,2,,
20,13,,
78,45,,
68,69,,
59,60,,
47,52,,
92,37,,
100,15,,
25,108,,
24,103,,
23,16,,
122,116,,
1,119,,
121,0,,
31,4,,
11,111,,
99,94,,
120,18,177,179
124,29,31,50
36,32,178,183
68,48,120,14
93,91,63,65
104,109,49,45
110,113,137,51
20,114,26,126
102,17,116,115
89,36,91,178
39,89,88,91
41,75,147,75
42,79,76,161
91,88,65,62
97,34,44,151
104,100,49,42
22,104,43,49
27,20,136,26
121,3,52,166
6,5,135,15
118,10,149,46
12,117,186,100
102,14,116,4
112,33,124,2
34,38,151,152
98,44,25,7
91,41,65,147
38,42,152,76
90,47,38,119
90,50,38,59
62,64,107,23
54,63,36,47
58,57,19,106
88,68,62,120
84,82,66,70
39,83,88,174
100,95,42,48
98,99,25,121
22,96,43,35
99,102,121,116
25,26,156,73
110,98,137,25
27,97,136,44
9,12,180,186
120,123,177,189
126,124,190,31
106,27,141,136
25,23,156,155
47,54,119,36
58,62,19,107
124,127,31,32
127,112,32,124
127,128,32,54
128,21,54,153
128,106,54,141
42,129,76,157
129,39,157,88
129,130,157,87
130,70,87,92
97,131,44,41
131,110,41,137
113,93,51,63
23,132,155,145
132,22,145,43
133,84,131,66
133,77,131,58
58,134,19,17
134,56,17,108
134,59,17,16
127,135,32,154
135,120,154,177
136,19,168,173
137,136,150,168
138,137,69,150
106,139,141,158
139,138,158,69
19,140,173,89
140,9,89,180
38,73,152,94
89,141,91,97
141,92,97,182
142,67,133,139
143,142,80,133
144,143,84,80
130,145,87,86
145,144,86,84
146,72,83,82
147,146,148,83
67,148,139,143
148,147,143,148
113,149,51,144
149,118,144,149
118,150,149,162
150,121,162,52
93,151,63,146
151,25,146,156
152,11,163,169
132,153,145,68
153,152,68,163
11,115,169,72
41,43,147,142
88,154,62,67
154,133,67,131
99,85,121,109
131,155,41,39
155,90,39,38
54,61,36,56
47,156,119,30
156,49,30,29
49,58,29,19
20,157,26,22
157,6,22,135
6,158,135,134
158,7,134,13
,,109,3
,,8,11
,,113,21
,,124,28
,,151,71
,,83,81
,,184,101
,,184,103
,,30,118
,,133,132
,,68,159
,,155,160
,,73,164
,,174,175
,,182,184
,,103,185
,,134,12
,,22,129
,,130,127
,,163,167
,,173,85
,,161,93
,,186,187
,,99,95
,,109,1
,,115,9
,,34,122
,,50,123
,,39,34
,,12,10
,,138,60
,,86,90
,,146,53
,,52,55
,,178,102
,,113,110
,,120,27
,,56,64
,,168,74
,,169,171
,,161,165
,,8,105
,,8,6
,,2,0
,,29,8
,,56,112
,,9,111
,,123,113
,,4,114
,,34,20
,,106,61
,,58,33
,,58,57
,,125,18
,,35,117
,,60,37
,,12,5
,,40,24
,,28,130
,,35,125
,,138,128
,,84,79
,,42,40
,,66,138
,,130,140
,,73,170
,,54,176
,,67,172
,,160,77
,,174,96
,,97,98
,,69,78
,,103,188
,,187,99
,,99,104
,,180,181
